Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Curb weight,Fuel capacity,Fuel efficiency,Latest Launch
Plymouth     ,Voyager          ,24.155,12.025,Car,18.85,2.4,150,3.528,20,24,24-Apr-15
Plymouth     ,Prowler          ,1.872,,Passenger,43,3.5,253,2.85,12,21,27-Jun-14
Pontiac      ,Firebird         ,19.911,17.805,Passenger,25.31,3.8,200,3.492,16.8,23.79136691,16-Jun-14
Pontiac      ,Grand Prix       ,92.364,14.01,Passenger,21.665,3.8,195,3.396,18,25,15-Oct-14
Pontiac      ,Bonneville       ,35.945,13.225,Passenger,23.755,3.8,205,3.59,17.5,24,18-May-15
Porsche      ,Boxter           ,8.982,41.25,Passenger,41.43,2.7,217,2.778,17,22,19-Feb-14
Porsche      ,Carrera Coupe    ,1.28,60.625,Passenger,71.02,3.4,300,3.032,17,21,21-Dec-14
Porsche      ,Carrera Cabriolet,1.866,67.55,Passenger,74.97,3.4,300,3.075,17,23,07-Nov-15
Saab         ,05-Sep,9.191,,Passenger,33.12,2.3,170,3.28,18.5,23,11-Sep-14
Saab         ,03-Sep,12.115,,Passenger,26.1,2,185,2.99,16.9,23,06-Dec-15
Saturn       ,SL               ,80.62,9.2,Passenger,10.685,1.9,100,2.332,12.1,33,16-Aug-14
Saturn       ,SC               ,24.546,10.59,Passenger,12.535,1.9,100,2.367,12.1,33,16-Mar-15
Saturn       ,SW               ,5.223,10.79,Passenger,14.29,1.9,124,2.452,12.1,31,15-Jan-15
Saturn       ,LW               ,8.472,,Passenger,18.835,2.2,137,3.075,13.1,27,08-May-15
Saturn       ,LS               ,49.989,,Passenger,15.01,2.2,137,2.91,13.1,28,12-Apr-14
Subaru       ,Outback          ,47.107,,Passenger,22.695,2.5,165,3.415,16.9,25,07-Jul-15
Subaru       ,Forester         ,33.028,,Car,20.095,2.5,165,3.125,15.9,24,09-Oct-14
Toyota       ,Corolla          ,142.535,10.025,Passenger,13.108,1.8,120,2.42,13.2,33,04-Nov-15
Toyota       ,Camry            ,247.994,13.245,Passenger,17.518,2.2,133,2.998,18.5,27,02-Oct-15
Toyota       ,Avalon           ,63.849,18.14,Passenger,25.545,3,210,3.417,18.5,26,31-Aug-15
Toyota       ,Celica           ,33.269,15.445,Passenger,16.875,1.8,140,2.425,14.5,31,29-Dec-14
Toyota       ,Tacoma           ,84.087,9.575,Car,11.528,2.4,142,2.58,15.1,23,08-Jan-15
Toyota       ,RAV4             ,25.106,13.325,Car,16.888,2,127,2.668,15.3,27,05-Jun-15
Toyota       ,4Runner          ,68.411,19.425,Car,22.288,2.7,150,3.44,18.5,23,03-Jul-15
Toyota       ,Land Cruiser     ,9.835,34.08,Car,51.728,4.7,230,5.115,25.4,15,25-Sep-15
Volkswagen   ,Jetta            ,83.721,13.24,Passenger,16.7,2,115,2.853,14.5,26,27-Aug-15
Volkswagen   ,Passat           ,51.102,16.725,Passenger,21.2,1.8,150,3.043,16.4,27,30-Oct-14
Volkswagen   ,Cabrio           ,9.569,16.575,Passenger,19.99,2,115,3.079,13.7,26,31-May-15
Volkswagen   ,GTI              ,5.596,13.76,Passenger,17.5,2,115,2.762,14.6,26,04-Jan-15
Volkswagen   ,Beetle           ,49.463,,Passenger,15.9,2,115,2.769,14.5,26,20-Oct-15
Volvo        ,S40              ,16.957,,Passenger,23.4,1.9,160,2.998,15.8,25,18-Feb-15
Volvo        ,V40              ,3.545,,Passenger,24.4,1.9,160,3.042,15.8,25,21-Sep-15
Volvo        ,S70              ,15.245,,Passenger,27.5,2.4,168,3.208,17.9,25,24-Nov-14
Volvo        ,V70              ,17.531,,Passenger,28.8,2.4,168,3.259,17.9,25,25-Jun-15
Volvo        ,C70              ,3.493,,Passenger,45.5,2.3,236,3.601,18.5,23,26-Apr-15
Volvo        ,S80              ,18.969,,Passenger,36,2.9,201,3.6,21.1,24,14-Nov-15
